Date,Name,Type,Country Name,Country Code
2023-01-01,New Year's Day,['National holiday'],Canada,CA
2023-01-02,Day off for New Year's Day,['National holiday'],Canada,CA
2023-01-02,Day After New Year’s Day,['Local holiday'],Canada,CA
2023-01-06,Epiphany,"['Observance', 'Christian']",Canada,CA
2023-01-07,Orthodox Christmas Day,['Orthodox'],Canada,CA
2023-01-14,Orthodox New Year,['Orthodox'],Canada,CA
2023-01-22,Lunar New Year,['Observance'],Canada,CA
2023-02-02,Groundhog Day,['Observance'],Canada,CA
2023-02-06,Tu B'Shevat (Arbor Day),['Hebrew'],Canada,CA
2023-02-14,Valentine's Day,['Observance'],Canada,CA
2023-02-15,National Flag of Canada Day,['Observance'],Canada,CA
2023-02-18,Isra and Mi'raj,['Muslim'],Canada,CA
2023-02-20,Louis Riel Day,['Common local holiday'],Canada,CA
2023-02-20,Nova Scotia Heritage Day,['Common local holiday'],Canada,CA
2023-02-20,Islander Day,['Common local holiday'],Canada,CA
2023-02-20,Family Day,['Common local holiday'],Canada,CA
2023-02-20,Family Day,['Common local holiday'],Canada,CA
2023-02-21,Carnival / Shrove Tuesday / Pancake Day,['Christian'],Canada,CA
2023-02-22,Ash Wednesday,['Christian'],Canada,CA
2023-02-24,Yukon Heritage Day,['Common local holiday'],Canada,CA
2023-03-01,St David's Day,['Observance'],Canada,CA
2023-03-07,Purim,['Hebrew'],Canada,CA
2023-03-12T02:00:00-05:00,Daylight Saving Time starts,['Clock change/Daylight Saving Time'],Canada,CA
2023-03-13,Commonwealth Day,['Observance'],Canada,CA
2023-03-17,St. Patrick's Day,['Observance'],Canada,CA
2023-03-20,St. Patrick's Day,['Local holiday'],Canada,CA
2023-03-20T17:24:20-04:00,March Equinox,['Season'],Canada,CA
2023-03-23,Ramadan Start,['Muslim'],Canada,CA
2023-04-02,Palm Sunday,['Christian'],Canada,CA
2023-04-06,Maundy Thursday,['Christian'],Canada,CA
2023-04-06,First day of Passover,['Hebrew'],Canada,CA
2023-04-06,Tartan Day,['Observance'],Canada,CA
2023-04-07,Good Friday,"['National holiday', 'Christian']",Canada,CA
2023-04-08,Holy Saturday,['Christian'],Canada,CA
